What is your Gender?,What is your Age?,"02)	What is your university?","03)	What is your Academic Year?",What is your Faculty?,What is your study location?,What is the city of study location?,Do you engage with e-learning?,What is the mode of your internet connection?,What is your internet connection strength?,What device do you use for e-learning?,How much time do you spend each day on an average on distance education?,How effective has e-learning been for you?,How helpful your University has been in offering you the resources to learn from e-learning?,Do you enjoy learning remotely?,How helpful are your teachers while studying online?,How satisfied or dissatisfied were you with the content of the courses?,How satisfied or dissatisfied were you with the format of the courses in e-learning?,How satisfied or dissatisfied were you with the online interaction you had with the instructor?,How satisfied or dissatisfied were you with the amount of online interaction you had with other students?,The course instructor was accessible to answer questions or give feedback.,The presentation of course topics was clear.,How do you feel overall about e-learning?,How stressful were your students while learning remotely during the COVID-Not at all stressful9 pandemic?,How peaceful is the environment at home while e-learning?,How much satisfied with the internet connection for e-learning?,Your comments on e learning satisfaction if any?
Female,25,University of Jaffna,4,Faculty of Applied Sciences,Home,Ambalangoda,Yes,Mobile;WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Disagree,Disagree,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,20,University of Jaffna,1,Faculty of Applied Sciences,Home,Hikkaduwa,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Slightly helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Satisfied,Satisfied,Disagree,Disagree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Applied Sciences,Home,Hikkaduwa,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Applied Sciences,Home,Hikkaduwa,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Disagree,Strongly Agree,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Jaffna,4,Faculty of Arts,Home,Hikkaduwa,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Disagree,Disagree,Excellent,Slightly stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Arts,Home,Marawila,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Disagree,Poor,Not at all stressful,Not at all helpful,Very Dissatisfied,
Female,21,University of Jaffna,2,Faculty of Arts,Home,Marawila,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,24,University of Jaffna,4,Faculty of Arts,Home,Marawila,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Agree,Good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,20,University of Jaffna,1,Faculty of Arts,Home,Marawila,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, not at all",Extremely helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Poor,Extremely stressful,Not at all helpful,Very Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Engineering,Home,Marawila,Yes,Broadband,4,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Undecided,Very good,Extremely stressful,Slightly helpful,Dissatisfied,
Female,20,University of Jaffna,1,Faculty of Engineering,Home,Marawila,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Satisfied,Dissatisfied,Dissatisfied,Agree,Agree,Good,Extremely stressful,Slightly helpful,Dissatisfied,
Female,23,University of Jaffna,3,Faculty of Engineering,Home,Marawila,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Very good,Slightly stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Jaffna,4,Faculty of Engineering,Home,Wellawaththe,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Moderately helpful,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Agree,Poor,Extremely stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Jaffna,3,Faculty of Engineering,Home,Wellawaththe,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Undecided,Excellent,Slightly stressful,Slightly helpful,Dissatisfied,
Female,22,University of Jaffna,2,Faculty of Engineering,Home,Wellawaththe,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Disagree,Disagree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,26,University of Jaffna,5,Faculty of Engineering,Home,Wellawaththe,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Excellent,Not at all stressful,Slightly helpful,Dissatisfied,
Female,24,University of Jaffna,4,Faculty of Management Studies and Commerce,Home,Wellawaththe,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Agree,Agree,Very good,Extremely stressful,Not at all helpful,Very Dissatisfied,
Female,21,University of Jaffna,2,Faculty of Management Studies and Commerce,Home,Wellawaththe,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Satisfied,Satisfied,Strongly Agree,Disagree,Very good,Not at all stressful,Slightly helpful,Dissatisfied,
Female,26,University of Kelaniya,5,Faculty of Science,Home,Wellampitiya,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Very helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Faculty of Science,Home,Wellampitiya,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Very Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Disagree,Poor,Not at all stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Kelaniya,4,Commerce and Management Studies,Home,Wellampitiya,Yes,WiFi Router,1,Desktop,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Neither Satisfied or Dissatisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Disagree,Poor,Very stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Kelaniya,3,Commerce and Management Studies,"Public Place (Eg:- Library, Temple, etc...)",Wellampitiya,Yes,WiFi Router,4,Laptop;Smartphone,10+ hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Commerce and Management Studies,Home,Wellampitiya,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Commerce and Management Studies,Home,Wellampitiya,Yes,Broadband,3,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Dissatisfied,Dissatisfied,Strongly Agree,Strongly Agree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,21,University of Kelaniya,2,Commerce and Management Studies,Home,Battaramulla,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Extremely helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Disagree,Fair,Very stressful,Slightly helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Faculty of Science,Home,Battaramulla,Yes,WiFi Router,4,Smartphone,10+ hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Strongly Agree,Good,Slightly stressful,Not at all helpful,Very Dissatisfied,e-learning saves if there is good connection
Female,23,University of Kelaniya,3,Faculty of Science,Home,Battaramulla,Yes,WiFi Router,2,Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
Female,24,University of Kelaniya,4,Faculty of Science,Home,Battaramulla,Yes,Satellite,4,Smartphone,5-7 hours,Extremely effective,Very helpful,"No, not at all",Very helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Strongly Agree,Excellent,Very stressful,Not at all helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Faculty of Computing and Technology,Home,Battaramulla,Yes,WiFi Router,5,Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Strongly Agree,Excellent,Very stressful,Not at all helpful,Dissatisfied,
Female,23,University of Kelaniya,3,Faculty of Computing and Technology,Home,Weligama,Yes,WiFi Router,5,Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Satisfied,Dissatisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Agree,Excellent,Slightly stressful,Slightly helpful,Dissatisfied,
Female,21,University of Kelaniya,2,Faculty of Humanities,Home,Weligama,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Slightly helpful,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Good,Moderately stressful,Not at all helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Faculty of Humanities,Home,Weligama,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Agree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,21,University of Kelaniya,2,Faculty of Humanities,Home,Weligama,Yes,WiFi Router,3,Laptop,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Strongly Agree,Good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,22,University of Kelaniya,2,Medicine,Home,Weligama,Yes,WiFi Router,5,Laptop,5-7 hours,Extremely effective,Very helpful,"No, not at all",Extremely helpful,Satisfied,Satisfied,Satisfied,Satisfied,Agree,Agree,Excellent,Not at all stressful,Slightly helpful,Satisfied,
Female,26,University of Kelaniya,5,Medicine,Home,Weligama,Yes,Mobile;WiFi Router,3,Laptop,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,24,University of Kelaniya,4,Medicine,Home,Weligama,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Slightly helpful,"Yes, but I would like to change a few things",Slightly helpful,Satisfied,Dissatisfied,Satisfied,Satisfied,Disagree,Strongly Agree,Good,Extremely stressful,Not at all helpful,Dissatisfied,
Female,20,University of Kelaniya,1,Medicine,Home,Weligama,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Agree,Strongly Agree,Fair,Very stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,22,University of Moratuwa,2,Engineering,Home,Pothuhera,Yes,Broadband,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Undecided,Strongly Agree,Very good,Extremely stressful,Slightly helpful,Satisfied,
Female,23,University of Moratuwa,3,Engineering,Home,Pothuhera,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Slightly helpful,"Yes, but I would like to change a few things",Moderately helpful,Satisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Disagree,Strongly Agree,Good,Slightly stressful,Slightly helpful,Satisfied,
Female,23,University of Moratuwa,3,Engineering,Home,Pothuhera,Yes,WiFi Router,5,Desktop,5-7 hours,Very effective,Very helpful,"No, not at all",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Excellent,Moderately stressful,Slightly helpful,Dissatisfied,
Female,22,University of Moratuwa,2,Engineering,Home,Pothuhera,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Moderately stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,25,University of Moratuwa,4,Engineering,Home,Pothuhera,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Very good,Very stressful,Slightly helpful,Dissatisfied,
Female,26,University of Moratuwa,5,Engineering,Home,Pothuhera,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Fair,Slightly stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,21,University of Moratuwa,2,Engineering,Home,Pothuhera,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Very good,Moderately stressful,Not at all helpful,Satisfied,
Female,25,University of Moratuwa,4,Engineering,Home,Pothuhera,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Good,Slightly stressful,Not at all helpful,Satisfied,
Female,24,University of Moratuwa,4,Engineering,Home,Galgamuwa,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Moderately helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Fair,Moderately stressful,Not at all helpful,Neither Satisfied or Dissatisfied,
Female,21,University of Moratuwa,2,Engineering,Home,Galgamuwa,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Good,Moderately stressful,Not at all helpful,Dissatisfied,
Female,20,University of Moratuwa,1,Engineering,Home,Galgamuwa,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Fair,Very stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,21,University of Moratuwa,2,Engineering,Home,Galgamuwa,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Good,Very stressful,Not at all helpful,Dissatisfied,
Female,23,University of Moratuwa,3,Engineering,Home,Galgamuwa,Yes,Mobile;WiFi Router,4,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Moderately helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Strongly Agree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Moratuwa,3,Engineering,Home,Galgamuwa,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Very helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,25,University of Moratuwa,4,Engineering,Home,Galgamuwa,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Strongly Agree,Excellent,Slightly stressful,Slightly helpful,Neither Satisfied or Dissatisfied,
Female,25,University of Moratuwa,4,Engineering,Home,Galgamuwa,Yes,WiFi Router,4,Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Slightly helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Agree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,20,University of Moratuwa,1,Architecture,Home,Galgamuwa,Yes,WiFi Router,5,Smartphone,5-7 hours,Very effective,Very helpful,"No, there are quite a few challenges",Slightly helpful,Very Satisfied,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Excellent,Slightly stressful,Slightly helpful,Dissatisfied,
Female,26,University of Moratuwa,5,Architecture,Cafe,Mirigama,Yes,WiFi Router,4,Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Very good,Slightly stressful,Slightly helpful,Dissatisfied,
Female,23,University of Moratuwa,3,Architecture,Friend's Home,Mirigama,No,WiFi Router,1,Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Undecided,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,20,University of Moratuwa,1,Architecture,Relative's Home,Mirigama,Yes,WiFi Router,4,Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Slightly helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Agree,Very good,Moderately stressful,Slightly helpful,Dissatisfied,
Female,25,University of Moratuwa,4,Architecture,Home,Mirigama,Yes,Mobile;WiFi Router,4,Desktop,5-7 hours,Extremely effective,Very helpful,"No, not at all",Slightly helpful,Very Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Dissatisfied,Undecided,Agree,Very good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,23,University of Moratuwa,3,Architecture,Home,Mirigama,Yes,Broadband,3,Smartphone,5-7 hours,Very effective,Very helpful,"No, not at all",Slightly helpful,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Undecided,Agree,Good,Very stressful,Slightly helpful,Dissatisfied,
Female,21,University of Moratuwa,2,Information Technology,Home,Mirigama,Yes,WiFi Router,5,Laptop,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Undecided,Excellent,Very stressful,Slightly helpful,Dissatisfied,
Female,24,University of Moratuwa,4,Information Technology,Home,Mirigama,Yes,WiFi Router,2,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Agree,Fair,Very stressful,Not at all helpful,Very Dissatisfied,
Female,24,University of Moratuwa,4,Information Technology,Home,Mirigama,Yes,WiFi Router,2,Laptop,10+ hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Moderately stressful,Not at all helpful,Very Dissatisfied,
Female,21,University of Moratuwa,2,Information Technology,Home,Mirigama,Yes,Mobile;WiFi Router,5,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Disagree,Disagree,Fair,Slightly stressful,Slightly helpful,Dissatisfied,
Male,24,University of Moratuwa,4,Information Technology,Home,Mirigama,Yes,WiFi Router,1,Laptop,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Neither Satisfied or Dissatisfied,Very Dissatisfied,Very Dissatisfied,Agree,Undecided,Poor,Not at all stressful,Slightly helpful,Dissatisfied,
Male,26,University of Moratuwa,5,Information Technology,Home,Kundasale,Yes,WiFi Router,4,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, not at all",Very helpful,Very Satisfied,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Agree,Poor,Slightly stressful,Slightly helpful,Dissatisfied,
Male,24,University of Moratuwa,4,Information Technology,Home,Kundasale,Yes,WiFi Router,3,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Very Satisfied,Very Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Good,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,25,University of Moratuwa,4,Information Technology,Home,Kundasale,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Strongly Agree,Undecided,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,26,University of Moratuwa,5,Faculty of Business,Home,Kundasale,Yes,WiFi Router,5,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Very Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Agree,Fair,Not at all stressful,Slightly helpful,Dissatisfied,
Male,26,University of Moratuwa,5,Faculty of Business,Home,Kundasale,Yes,Broadband,5,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, there are quite a few challenges",Very helpful,Neither Satisfied or Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Poor,Moderately stressful,Slightly helpful,Dissatisfied,
Male,22,University of Moratuwa,2,Faculty of Business,Home,Kundasale,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Satisfied,Satisfied,Dissatisfied,Neither Satisfied or Dissatisfied,Undecided,Undecided,Poor,Slightly stressful,Slightly helpful,Dissatisfied,
Male,21,University of Moratuwa,2,Faculty of Business,Home,Kundasale,Yes,WiFi Router,1,Laptop;Smartphone,10+ hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Neither Satisfied or Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Undecided,Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,22,University of Moratuwa,2,Faculty of Business,Home,Kundasale,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Satisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Disagree,Disagree,Poor,Moderately stressful,Not at all helpful,Very Dissatisfied,
Male,23,University of Moratuwa,3,Engineering,Home,Kundasale,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Extremely helpfuL,"No, not at all",Extremely helpful,Dissatisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Agree,Agree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,25,University of Moratuwa,4,Engineering,Home,Gampaha,Yes,WiFi Router,1,Laptop;Smartphone,5-7 hours,Very effective,Not at all helpful,"Yes, absolutely",Extremely helpful,Dissatisfied,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Strongly Agree,Strongly Disagree,Poor,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,23,University of Moratuwa,3,Engineering,Home,Gampaha,Yes,Broadband,5,Laptop;Smartphone,5-7 hours,Extremely effective,Extremely helpfuL,"No, there are quite a few challenges",Extremely helpful,Neither Satisfied or Dissatisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Disagree,Disagree,Fair,Slightly stressful,Not at all helpful,Very Dissatisfied,
Male,23,University of Moratuwa,3,Engineering,Home,Gampaha,Yes,WiFi Router,2,Laptop;Smartphone,5-7 hours,Extremely effective,Very helpful,"No, not at all",Moderately helpful,Dissatisfied,Satisfied,Neither Satisfied or Dissatisfied,Neither Satisfied or Dissatisfied,Agree,Agree,Fair,Moderately stressful,Slightly helpful,Dissatisfied,
